Timestamp,ADC_Value,Voltage_mV
2026-07-27 14:25:32.358,6,29.326
2026-07-27 14:25:32.358,340,1661.779
2026-07-27 14:25:32.358,341,1666.667
2026-07-27 14:25:32.359,346,1691.105
2026-07-27 14:25:32.359,356,1739.98
2026-07-27 14:25:32.359,365,1783.969
2026-07-27 14:25:32.359,395,1930.596
2026-07-27 14:25:32.359,437,2135.875
2026-07-27 14:25:32.359,476,2326.491
2026-07-27 14:25:32.359,470,2297.165
2026-07-27 14:25:32.359,372,1818.182
2026-07-27 14:25:32.359,268,1309.873
2026-07-27 14:25:32.359,210,1026.393
2026-07-27 14:25:32.359,228,1114.37
2026-07-27 14:25:32.359,285,1392.962
2026-07-27 14:25:32.359,324,1583.578
2026-07-27 14:25:32.359,342,1671.554
2026-07-27 14:25:32.360,352,1720.43
2026-07-27 14:25:32.360,361,1764.418
2026-07-27 14:25:32.360,359,1754.643
2026-07-27 14:25:32.360,354,1730.205
2026-07-27 14:25:32.360,350,1710.655
2026-07-27 14:25:32.360,349,1705.767
2026-07-27 14:25:32.360,352,1720.43
2026-07-27 14:25:32.360,353,1725.318
2026-07-27 14:25:32.360,355,1735.093
2026-07-27 14:25:32.360,358,1749.756
2026-07-27 14:25:32.360,356,1739.98
2026-07-27 14:25:32.360,357,1744.868
2026-07-27 14:25:32.360,357,1744.868
2026-07-27 14:25:32.361,357,1744.868
2026-07-27 14:25:32.361,359,1754.643
2026-07-27 14:25:32.361,359,1754.643
2026-07-27 14:25:32.361,359,1754.643
2026-07-27 14:25:32.361,361,1764.418
2026-07-27 14:25:32.361,361,1764.418
2026-07-27 14:25:32.361,361,1764.418
2026-07-27 14:25:32.362,362,1769.306
2026-07-27 14:25:32.362,363,1774.194
2026-07-27 14:25:32.364,364,1779.081
2026-07-27 14:25:32.488,365,1783.969
2026-07-27 14:25:32.488,366,1788.856
2026-07-27 14:25:32.488,368,1798.631
2026-07-27 14:25:32.488,373,1823.069
2026-07-27 14:25:32.488,376,1837.732
2026-07-27 14:25:32.488,379,1852.395
2026-07-27 14:25:32.488,383,1871.945
2026-07-27 14:25:32.488,388,1896.383
2026-07-27 14:25:32.488,396,1935.484
2026-07-27 14:25:32.488,403,1969.697
2026-07-27 14:25:32.488,407,1989.247
2026-07-27 14:25:32.488,414,2023.46
2026-07-27 14:25:32.489,417,2038.123
2026-07-27 14:25:32.489,422,2062.561
2026-07-27 14:25:32.489,425,2077.224
2026-07-27 14:25:32.489,425,2077.224
2026-07-27 14:25:32.489,423,2067.449
2026-07-27 14:25:32.489,414,2023.46
2026-07-27 14:25:32.489,404,1974.585
2026-07-27 14:25:32.489,390,1906.158
2026-07-27 14:25:32.489,375,1832.845
2026-07-27 14:25:32.489,363,1774.194
2026-07-27 14:25:32.489,350,1710.655
2026-07-27 14:25:32.489,340,1661.779
2026-07-27 14:25:32.608,335,1637.341
2026-07-27 14:25:32.608,330,1612.903
2026-07-27 14:25:32.608,326,1593.353
2026-07-27 14:25:32.608,324,1583.578
2026-07-27 14:25:32.608,323,1578.69
2026-07-27 14:25:32.608,321,1568.915
2026-07-27 14:25:32.608,320,1564.027
2026-07-27 14:25:32.609,320,1564.027
2026-07-27 14:25:32.609,320,1564.027
2026-07-27 14:25:32.609,321,1568.915
2026-07-27 14:25:32.609,319,1559.14
2026-07-27 14:25:32.609,323,1578.69
2026-07-27 14:25:32.609,323,1578.69
2026-07-27 14:25:32.609,324,1583.578
2026-07-27 14:25:32.609,326,1593.353
2026-07-27 14:25:32.609,327,1598.24
2026-07-27 14:25:32.609,326,1593.353
2026-07-27 14:25:32.609,327,1598.24
2026-07-27 14:25:32.609,327,1598.24
2026-07-27 14:25:32.609,328,1603.128
2026-07-27 14:25:32.610,330,1612.903
2026-07-27 14:25:32.610,331,1617.791
2026-07-27 14:25:32.610,330,1612.903
2026-07-27 14:25:32.614,330,1612.903
2026-07-27 14:25:32.664,332,1622.678
2026-07-27 14:25:32.664,334,1632.454
2026-07-27 14:25:32.664,335,1637.341
2026-07-27 14:25:32.664,335,1637.341
2026-07-27 14:25:32.665,336,1642.229
2026-07-27 14:25:32.665,336,1642.229
2026-07-27 14:25:32.665,336,1642.229
2026-07-27 14:25:32.665,338,1652.004
2026-07-27 14:25:32.665,338,1652.004
2026-07-27 14:25:32.668,337,1647.116
2026-07-27 14:25:32.672,339,1656.891
2026-07-27 14:25:32.676,342,1671.554
2026-07-27 14:25:32.684,340,1661.779
2026-07-27 14:25:32.686,340,1661.779
2026-07-27 14:25:32.730,341,1666.667
2026-07-27 14:25:32.731,343,1676.442
2026-07-27 14:25:32.731,343,1676.442
2026-07-27 14:25:32.731,341,1666.667
2026-07-27 14:25:32.732,342,1671.554
2026-07-27 14:25:32.732,343,1676.442
2026-07-27 14:25:32.732,342,1671.554
2026-07-27 14:25:32.732,341,1666.667
2026-07-27 14:25:32.736,343,1676.442
2026-07-27 14:25:32.740,342,1671.554
2026-07-27 14:25:32.743,340,1661.779
2026-07-27 14:25:32.778,340,1661.779
2026-07-27 14:25:32.778,342,1671.554
2026-07-27 14:25:32.778,341,1666.667
2026-07-27 14:25:32.778,340,1661.779
2026-07-27 14:25:32.778,338,1652.004
2026-07-27 14:25:32.778,340,1661.779
2026-07-27 14:25:32.780,340,1661.779
2026-07-27 14:25:32.827,336,1642.229
2026-07-27 14:25:32.827,335,1637.341
2026-07-27 14:25:32.828,337,1647.116
2026-07-27 14:25:32.828,337,1647.116
2026-07-27 14:25:32.828,338,1652.004
2026-07-27 14:25:32.828,337,1647.116
2026-07-27 14:25:32.828,338,1652.004
2026-07-27 14:25:32.828,338,1652.004
2026-07-27 14:25:32.828,338,1652.004
2026-07-27 14:25:32.833,336,1642.229
2026-07-27 14:25:32.838,336,1642.229
2026-07-27 14:25:32.874,336,1642.229
2026-07-27 14:25:32.874,336,1642.229
2026-07-27 14:25:32.874,334,1632.454
2026-07-27 14:25:32.874,334,1632.454
2026-07-27 14:25:32.874,334,1632.454
2026-07-27 14:25:32.874,333,1627.566
2026-07-27 14:25:32.874,333,1627.566
2026-07-27 14:25:32.879,334,1632.454
2026-07-27 14:25:32.920,335,1637.341
2026-07-27 14:25:32.920,335,1637.341
2026-07-27 14:25:32.921,334,1632.454
2026-07-27 14:25:32.921,335,1637.341
2026-07-27 14:25:32.921,334,1632.454
2026-07-27 14:25:32.921,333,1627.566
2026-07-27 14:25:32.921,334,1632.454
2026-07-27 14:25:32.921,335,1637.341
2026-07-27 14:25:32.966,334,1632.454
2026-07-27 14:25:32.966,333,1627.566
2026-07-27 14:25:32.966,333,1627.566
2026-07-27 14:25:32.966,335,1637.341
2026-07-27 14:25:32.966,333,1627.566
2026-07-27 14:25:32.966,332,1622.678
2026-07-27 14:25:32.966,331,1617.791
2026-07-27 14:25:32.966,332,1622.678
2026-07-27 14:25:32.968,331,1617.791
2026-07-27 14:25:33.008,328,1603.128
2026-07-27 14:25:33.008,328,1603.128
2026-07-27 14:25:33.008,328,1603.128
2026-07-27 14:25:33.008,328,1603.128
2026-07-27 14:25:33.008,327,1598.24
2026-07-27 14:25:33.008,329,1608.016
2026-07-27 14:25:33.009,328,1603.128
2026-07-27 14:25:33.009,328,1603.128
2026-07-27 14:25:33.044,328,1603.128
2026-07-27 14:25:33.044,332,1622.678
2026-07-27 14:25:33.044,333,1627.566
2026-07-27 14:25:33.044,332,1622.678
2026-07-27 14:25:33.044,331,1617.791
2026-07-27 14:25:33.045,331,1617.791
2026-07-27 14:25:33.047,326,1593.353
2026-07-27 14:25:33.051,325,1588.465
2026-07-27 14:25:33.091,324,1583.578
2026-07-27 14:25:33.091,322,1573.803
2026-07-27 14:25:33.091,317,1549.365
2026-07-27 14:25:33.091,316,1544.477
2026-07-27 14:25:33.091,315,1539.589
2026-07-27 14:25:33.091,316,1544.477
2026-07-27 14:25:33.091,316,1544.477
2026-07-27 14:25:33.092,317,1549.365
2026-07-27 14:25:33.138,319,1559.14
2026-07-27 14:25:33.138,324,1583.578
2026-07-27 14:25:33.138,333,1627.566
2026-07-27 14:25:33.138,342,1671.554
2026-07-27 14:25:33.138,367,1793.744
2026-07-27 14:25:33.138,414,2023.46
2026-07-27 14:25:33.139,462,2258.065
2026-07-27 14:25:33.139,442,2160.313
2026-07-27 14:25:33.141,327,1598.24
2026-07-27 14:25:33.144,229,1119.257
2026-07-27 14:25:33.177,185,904.203
2026-07-27 14:25:33.177,228,1114.37
2026-07-27 14:25:33.177,287,1402.737
2026-07-27 14:25:33.177,317,1549.365
2026-07-27 14:25:33.177,325,1588.465
2026-07-27 14:25:33.177,329,1608.016
2026-07-27 14:25:33.214,330,1612.903
2026-07-27 14:25:33.214,330,1612.903
2026-07-27 14:25:33.214,326,1593.353
2026-07-27 14:25:33.215,324,1583.578
2026-07-27 14:25:33.217,327,1598.24
2026-07-27 14:25:33.217,330,1612.903
2026-07-27 14:25:33.217,329,1608.016
2026-07-27 14:25:33.217,329,1608.016
2026-07-27 14:25:33.261,330,1612.903
2026-07-27 14:25:33.262,332,1622.678
2026-07-27 14:25:33.262,333,1627.566
2026-07-27 14:25:33.262,332,1622.678
2026-07-27 14:25:33.262,334,1632.454
2026-07-27 14:25:33.262,334,1632.454
2026-07-27 14:25:33.262,335,1637.341
2026-07-27 14:25:33.262,335,1637.341
2026-07-27 14:25:33.264,338,1652.004
2026-07-27 14:25:33.308,339,1656.891
2026-07-27 14:25:33.308,340,1661.779
2026-07-27 14:25:33.308,341,1666.667
2026-07-27 14:25:33.308,344,1681.329
2026-07-27 14:25:33.308,348,1700.88
2026-07-27 14:25:33.308,349,1705.767
2026-07-27 14:25:33.309,349,1705.767
